name	homepage	html_url	description	topics	funding
GDSCN_Book_Statistics_for_Genomics_RNA-seq	https://jhudatascience.org/GDSCN_Book_Statistics_for_Genomics_RNA-seq/	https://github.com/jhudsl/GDSCN_Book_Statistics_for_Genomics_RNA-seq	[WORK IN PROGRESS] A set of lab modules for RNA-seq analysis		NA
GDSCN_Book_Statistics_for_Genomics_scRNA-seq	http://jhudatascience.org/GDSCN_Book_Statistics_for_Genomics_scRNA-seq/	https://github.com/jhudsl/GDSCN_Book_Statistics_for_Genomics_scRNA-seq	A set of lab modules for single cell RNA-seq analysis	anvil, course, gdscn, module, rna-seq, scrna-seq	anvil, gdscn
GDSCN_Book_swirl	https://jhudatascience.org/GDSCN_Book_swirl/	https://github.com/jhudsl/GDSCN_Book_swirl	Lab exercise: learn basic R programming through interactive swirl lessons	course, gdscn, module, swirl	gdscn
GDSCN_SARS_RStudio_on_AnVIL	https://hutchdatascience.org/GDSCN_SARS_RStudio_on_AnVIL/	https://github.com/fhdsl/GDSCN_SARS_RStudio_on_AnVIL	Lab module and lectures for identifying phylogenetic history of SARS variants using R	anvil, course, gdscn, module, phylogenetic-analysis, sars-cov-2	anvil, gdscn
GitHub_Automation_for_Scientists	http://hutchdatascience.org/GitHub_Automation_for_Scientists/	https://github.com/fhdsl/GitHub_Automation_for_Scientists	A course that introduces Github actions to developers of scientific worklflows and software		NA
ITCR_Metrics_manuscript_website	https://hutchdatascience.org/ITCR_Metrics_manuscript_website/	https://github.com/fhdsl/ITCR_Metrics_manuscript_website	ITCR OPEN - Software Metrics Analyses Website		NA
Informatics_Research_Leadership	https://jhudatascience.org/Informatics_Research_Leadership/	https://github.com/jhudsl/Informatics_Research_Leadership	Guidance on supporting multidisciplinary teams in cancer informatics. 	diversity, informatics, leadership	NA
Intermediate-Git-GitHub	https://hutchdatascience.org/Intermediate-Git-GitHub/	https://github.com/fhdsl/Intermediate-Git-GitHub	You will expand your current knowledge of Git and GitHub to help your research be more collaborative, reproducible, and transparent. 	hutch-course	hutch-course
Intermediate_R	https://hutchdatascience.org/Intermediate_R/	https://github.com/fhdsl/Intermediate_R	The course continues building programming fundamentals in R programming and data analysis. You will learn how to make use of complex data structures, use custom functions built by other R users, creating your own functions, and how to iterate repeated tasks that scales naturally. 	hutch-course	hutch-course
Intro_to_Command_Line	https://hutchdatascience.org/Intro_to_Command_Line/	https://github.com/fhdsl/Intro_to_Command_Line	Fluency in programming and data science requires using computer software from the Command Line, a text-based way of controlling the computer. You will go on a guided under-the-hood tour behind the graphical interface we typically use: you will learn how to interact and manipulate files, folders, and software via the Command Line.	hutch-course	hutch-course
Intro_to_Git_and_GitHub	https://hutchdatascience.org/Intro_to_Git_and_GitHub/	https://github.com/fhdsl/Intro_to_Git_and_GitHub	You will learn how to use Git, a version control system that is the primary means of doing reproducible and collaborative research. You will use Git from the command line to document the history of your code, create different versions of your code, and share your code with an audience via GitHub!	hutch-course	hutch-course
Intro_to_R	https://hutchdatascience.org/Intro_to_R/	https://github.com/fhdsl/Intro_to_R	The course covers fundamentals of R, a high-level programming language, and use it to wrangle data for analysis and visualization. The programming skills you will learn are transferable to learn more about R independently and other high-level languages such as Python. 	hutch-course	hutch-course
NIH_Data_Sharing	https://hutchdatascience.org/NIH_Data_Sharing/	https://github.com/fhdsl/NIH_Data_Sharing	Learn about the new NIH data sharing policy, places where you might want to share your particular kind of data, and how to deal with possible challenges associated with the policy.	data-management, data-sharing, grant-proposals, hutch-course, nih	hutch-course
OTTR_Quarto	https://hutchdatascience.org/OTTR_Quarto/	https://github.com/fhdsl/OTTR_Quarto	Repo for Quarto based Open-source Tools for Training Resources (OTTR)	quarto, quarto-template	NA
OTTR_Template	https://www.ottrproject.org/	https://github.com/jhudsl/OTTR_Template	OTTR for making courses! This is a template repo that helps people write 1 course but publish it in three places	edtech-software, education, online-learning, open-source	NA
OTTR_Template_Website	https://www.ottrproject.org/	https://github.com/jhudsl/OTTR_Template_Website	Template to create websites with checks for broken urls and spelling, as well as automated rendering. 	edtech-software	NA
Overleaf_and_LaTeX_for_Scientific_Articles	https://hutchdatascience.org/Overleaf_and_LaTeX_for_Scientific_Articles/	https://github.com/fhdsl/Overleaf_and_LaTeX_for_Scientific_Articles	The course covers basic information about why LaTeX can be useful, how to get started in Overleaf using LaTeX with a template, how to work with a team on Overleaf, and what to do when you encounter problems.	latex, overleaf, scientific-publications	NA
Reproducibility_in_Cancer_Informatics	https://jhudatascience.org/Reproducibility_in_Cancer_Informatics/	https://github.com/jhudsl/Reproducibility_in_Cancer_Informatics	This course discusses reproducibility and replicability in the context of cancer informatics. 	data-science, informatics, python, r, reproducibility	NA
SeattleStatSummer_R	https://hutchdatascience.org/SeattleStatSummer_R/	https://github.com/fhdsl/SeattleStatSummer_R	A 4-day introduction to R programming, focused on Fred Hutch Research Interns	beginner, beginner-friendly, course, data-analysis, data-science, introduction-to-programming, r-programming, tidyverse	NA
Using_Leanpub	https://hutchdatascience.org/Using_Leanpub/	https://github.com/fhdsl/Using_Leanpub	A gentle introduction to Leanpub	course, education, leanpub	NA
ari	https://jhudatascience.org/ari/	https://github.com/jhudsl/ari	:dancers: The Automated R Instructor	edtech-software	NA
bench_to_bytes	https://hutchdatascience.org/bench_to_bytes/	https://github.com/fhdsl/bench_to_bytes	A guide for wet bench researchers about why considering computational and data science skills can be useful for all types of scientific work.		NA
code_review	https://hutchdatascience.org/code_review/	https://github.com/fhdsl/code_review	A repository with tips about code review and implementing it in a lab	codereview, fhdasl, hutch-course, training	hutch-course
conrad	http://hutchdatascience.org/conrad/	https://github.com/fhdsl/conrad	Client for the Microsoft Cognitive Services Text to Speech REST API (reboot of the mscstts package)	azure, r, text-to-speech, tts	NA
dasl-snack-github	http://hutchdatascience.org/dasl-snack-github/	https://github.com/fhdsl/dasl-snack-github	A DaSL training ""snack"" covering the benefits and basics of using Git and GitHub to support your biomedical data science work. 	hutch-course	hutch-course
intro_to_r	https://jhudatascience.org/intro_to_r/	https://github.com/jhudsl/intro_to_r	A 2-week introduction to R programming course, with a focus on public health datasets	beginner, beginner-friendly, beginner-programming, course, public-health, r-programming, tidyverse	NA
itn-metric	http://hutchdatascience.org/itn-metric/	https://github.com/fhdsl/itn-metric	Analyze ITCR metrics using {metricminer}		NA
jhudsl.github.io	https://jhudatascience.org	https://github.com/jhudsl/jhudsl.github.io	source code for the JHU Data Science Lab website	website	NA
metricminer	https://hutchdatascience.org/metricminer/	https://github.com/fhdsl/metricminer	R package that digs up data that matters from APIs, making it dashboard-ready	edtech-software	NA
metricminer-dashboard	http://dashboard.metricminer.org/	https://github.com/fhdsl/metricminer-dashboard	A template dashboard that helps you display your metricmined data in no time! 		NA
metricminer.org	http://www.metricminer.org/	https://github.com/fhdsl/metricminer.org	A website for metricminer		NA
ottrpal	https://jhudatascience.org/ottrpal/	https://github.com/jhudsl/ottrpal	Tools for converting OTTR courses into Leanpub or Coursera courses :otter:	edtech-software	NA
ottrproject.org	http://www.ottrproject.org/	https://github.com/jhudsl/ottrproject.org	This repo publishes ottrproject.org		NA
personas	http://hutchdatascience.org/personas	https://github.com/fhdsl/personas	Where RDI curates the DaSL Data Science Personas	data-science, personas, training	NA
simplydatascience.org	http://simplydatascience.org/	https://github.com/fhdsl/simplydatascience.org	Data science is for everyone -- a social media outreach project		NA
software_health_cheatsheets	http://hutchdatascience.org/software_health_cheatsheets/	https://github.com/fhdsl/software_health_cheatsheets	Cheatsheets from the Best Practices in Software Metrics manuscript		NA
text2speech	http://jhudatascience.org/text2speech/	https://github.com/jhudsl/text2speech	Text to Speech	edtech-software, speech-synthesis, text-to-speech, tts, voice	NA
tidyversecourse	http://jhudatascience.org/tidyversecourse/	https://github.com/jhudsl/tidyversecourse	Tidyverse Skills for Data Science in R	r, tidyverse	NA
widget-survey	https://c-savonen.shinyapps.io/widget-survey/?course_name=widget_repo	https://github.com/fhdsl/widget-survey	Put low maintenance mini surveys in your websites/courses/repositories!	edtech-software	NA
